"train/global_step","Group: null - _step","Group: null - _step__MIN","Group: null - _step__MAX","Group: null - eval/12-add-reverse_distance","Group: null - eval/12-add-reverse_distance__MIN","Group: null - eval/12-add-reverse_distance__MAX","Group: null - eval/16-add-reverse_distance","Group: null - eval/16-add-reverse_distance__MIN","Group: null - eval/16-add-reverse_distance__MAX","Group: null - eval/20-add-reverse_distance","Group: null - eval/20-add-reverse_distance__MIN","Group: null - eval/20-add-reverse_distance__MAX","Group: null - eval/24-add-reverse_distance","Group: null - eval/24-add-reverse_distance__MIN","Group: null - eval/24-add-reverse_distance__MAX","Group: null - eval/28-add-reverse_distance","Group: null - eval/28-add-reverse_distance__MIN","Group: null - eval/28-add-reverse_distance__MAX","Group: null - eval/32-add-reverse_distance","Group: null - eval/32-add-reverse_distance__MIN","Group: null - eval/32-add-reverse_distance__MAX","Group: null - eval/36-add-reverse_distance","Group: null - eval/36-add-reverse_distance__MIN","Group: null - eval/36-add-reverse_distance__MAX","Group: null - eval/4-add-reverse_distance","Group: null - eval/4-add-reverse_distance__MIN","Group: null - eval/4-add-reverse_distance__MAX","Group: null - eval/40-add-reverse_distance","Group: null - eval/40-add-reverse_distance__MIN","Group: null - eval/40-add-reverse_distance__MAX","Group: null - eval/44-add-reverse_distance","Group: null - eval/44-add-reverse_distance__MIN","Group: null - eval/44-add-reverse_distance__MAX","Group: null - eval/48-add-reverse_distance","Group: null - eval/48-add-reverse_distance__MIN","Group: null - eval/48-add-reverse_distance__MAX","Group: null - eval/8-add-reverse_distance","Group: null - eval/8-add-reverse_distance__MIN","Group: null - eval/8-add-reverse_distance__MAX"
"200","57.5","24","91","0.20854840959821397","0.1418805803571424","0.27239118303571414","0.21006944444444464","0.13894314236111194","0.26264105902777773","0.20524458451704564","0.13765092329545542","0.24897904829545436","0.20074932391826916","0.1457331730769235","0.23734224759615385","0.1898030598958322","0.153287760416666","0.21969401041666553","0.1702952665441194","0.15872012867647198","0.187729779411767","0.13747044613486958","0.11063425164473835","0.1570980674342114","0.27473958333333287","0.17578124999999958","0.3798828124999986","0.0853794642857155","0.0657784598214297","0.11525762648809626","0.05407184103260815","0.04475203804347781","0.06844429347826035","0.042011718749999344","0.04005859374999932","0.0451367187499994","0.20859374999999974","0.14062499999999922","0.2948242187500006"
"400","149.5","116","183","0.3187779017857128","0.28829520089285665","0.34347098214285543","0.29427083333333337","0.24386935763888856","0.32335069444444486","0.27314897017045453","0.20432350852272718","0.3079723011363636","0.25586876502403905","0.17424128605769232","0.2907151442307702","0.24062500000000067","0.15055338541666613","0.27356770833333477","0.22762522977941155","0.12884880514705968","0.26398782169117585","0.21822959498355296","0.12207031250000153","0.2574013157894734","0.39095052083333237","0.37027994791666635","0.41129557291666496","0.2116001674107146","0.12125651041666728","0.2504882812499999","0.20470660665760795","0.11786684782608686","0.24885360054347827","0.19621582031249968","0.11707031249999998","0.23740234374999947","0.34362792968750033","0.3267578125000002","0.3622070312500001"
"600","241.5","208","275","0.26749093191964224","0.2279575892857145","0.3051757812499988","0.24763997395833337","0.21386718749999992","0.2910698784722218","0.2327880859375002","0.20454545454545495","0.27086292613636376","0.22086275540865333","0.2026742788461535","0.24368990384615338","0.21267903645833186","0.20175781249999789","0.22796223958333214","0.2030172909007371","0.18962545955882537","0.2143267463235309","0.19597424958881626","0.1757555509868427","0.2043071546052633","0.40673828124999856","0.37255859374999895","0.4392903645833319","0.19030761718750078","0.16476004464285776","0.20077659970238196","0.1826596467391287","0.15287449048912963","0.19987686820651918","0.17462402343749955","0.1423046874999998","0.19775390624999967","0.3104736328125005","0.2712890625","0.3499023437500005"
"800","333.5","300","367","0.28353445870535665","0.2603236607142859","0.315917968749999","0.25869411892361116","0.21652560763888867","0.29248046875000067","0.23062411221590934","0.1764470880681821","0.2698419744318185","0.20351938100961506","0.15354567307692296","0.238694411057692","0.18680826822916544","0.1490559895833328","0.2152018229166649","0.17038861443014863","0.14257812500000105","0.20243566176470784","0.1584858141447377","0.13705283717105382","0.19726562500000047","0.43249511718749856","0.4197591145833322","0.4407552083333313","0.15483165922619105","0.13244047619047686","0.19619605654761968","0.15495499320652095","0.13194208559782586","0.19512143342391144","0.15985351562499975","0.12390624999999997","0.18976562499999952","0.31894531250000047","0.26582031250000016","0.3471679687500008"
"1000","425.5","392","459","0.2821916852678563","0.19845145089285718","0.3816266741071405","0.26563856336805575","0.1825086805555559","0.3582356770833338","0.24842418323863671","0.15451882102272788","0.3352272727272736","0.23362379807692324","0.14532001201923103","0.305438701923078","0.22003580729166658","0.14029947916666646","0.27900390625000127","0.2059326171875011","0.13600068933823634","0.2577263327205881","0.19633403577302672","0.13823499177631707","0.2415193256578946","0.41927083333333237","0.3374023437500001","0.4689127604166663","0.1875930059523815","0.14127604166666746","0.2242606026785719","0.1814442510190203","0.14493461277173883","0.21308169157608495","0.17643554687499965","0.14722656249999977","0.20197265624999938","0.32382812499999986","0.233886718749999","0.41328124999999977"
"1200","517.5","484","551","0.6147984095982133","0.577287946428571","0.6721540178571414","0.5460069444444418","0.5188259548611097","0.6121961805555491","0.4916548295454551","0.4570756392045471","0.5578835227272706","0.4359975961538451","0.39370492788461453","0.5052208533653855","0.38593749999999954","0.3387369791666676","0.46009114583333127","0.34134449678308726","0.30359604779411603","0.40449793198529466","0.30600457442434287","0.27515933388157904","0.35695929276315963","0.8927408854166689","0.8505859375000028","0.9160156250000021","0.2759312220982136","0.24841889880952428","0.31938244047618797","0.2518788213315215","0.23407778532608578","0.2893809442934802","0.23114746093749985","0.21138671874999962","0.26597656250000007","0.7237060546875005","0.658496093750005","0.7856445312499966"
"1400","609.5","576","643","0.7837437220982167","0.7472795758928575","0.8248465401785778","0.6611463758680508","0.6292317708333283","0.7051866319444411","0.5742409446022698","0.5347567471590893","0.6105291193181781","0.5096153846153858","0.4520357572115366","0.555213341346158","0.4606852213541662","0.4026692708333327","0.5164062500000007","0.4163818359375006","0.35791015624999944","0.48362821691176544","0.37946520353618607","0.3245014391447377","0.4484734786184238","0.9648844401041676","0.8945312500000021","0.9931640625000003","0.34659249441964174","0.29987444196428364","0.4052734375000023","0.3202859629755448","0.27674932065217556","0.3746815557065215","0.2979638671874997","0.25988281250000006","0.3451367187499989","0.9071289062499934","0.8247070312499916","0.9604492187499941"
"1600","701.5","668","735","0.797101702008931","0.6605050223214255","0.8791155133928629","0.6932508680555529","0.5940212673611042","0.7750651041666683","0.609430486505679","0.5514914772727251","0.6767578124999968","0.5441706730769257","0.47663762019230604","0.6077974759615438","0.49240722656250036","0.42167968749999835","0.5482747395833367","0.4436178768382365","0.3783030790441182","0.49310661764705926","0.40484297902960725","0.3413856907894749","0.4504523026315813","0.9796549479166672","0.9205729166666687","0.9995117187499999","0.3728259858630958","0.31101190476190205","0.4183640252976221","0.3434209408967399","0.2834154211956546","0.3863153872282601","0.3173779296874995","0.25972656250000015","0.3586914062499993","0.9163085937499967","0.7683593749999973","0.9889648437499984"
"1800","793.5","760","827","0.8631417410714306","0.7092633928571406","0.955845424107146","0.7753499348958371","0.6278754340277724","0.8924696180555663","0.6998512961647718","0.5955699573863601","0.7758345170454567","0.6305307241586587","0.554462139423081","0.6765700120192356","0.5618977864583359","0.5076171874999998","0.5901692708333365","0.49886546415441146","0.450195312500002","0.5222598805147043","0.4461862664473703","0.41383120888158087","0.4711657072368434","0.9907633463541667","0.9682617187499996","0.9998372395833334","0.3987572079613115","0.37172154017857134","0.4248279389880985","0.35669476052989185","0.3238366168478281","0.3813901154891296","0.3216357421874996","0.2935546874999999","0.33814453124999927","0.9387939453124979","0.8499023437499974","0.9874023437499987"
"2000","885.5","852","919","0.8273577008928593","0.7250976562499977","0.9727260044642883","0.7414279513888887","0.6774631076388832","0.824055989583341","0.6838378906249971","0.6514559659090862","0.7297141335227256","0.6303147536057756","0.5978440504807759","0.6678936298076983","0.5759847005208361","0.5245117187500022","0.6164388020833359","0.5245074103860284","0.47027228860294296","0.565286075367644","0.4762926603618428","0.4232113486842136","0.5244140624999984","0.9891764322916667","0.9726562499999994","1","0.4326404389880971","0.38767206101190604","0.4830031622023826","0.3937829059103251","0.34593665081521807","0.445588485054345","0.359799804687499","0.31437499999999957","0.40542968749999847","0.9165039062499953","0.8502929687499973","0.9984374999999999"
